event_id,user_id,imsi,imei,timestamp,domain,ip_src,ip_dst,port,protocol,duration,bytes_sent,bytes_received,vpn_usage,cell_id,location_lat,location_lon,is_fraud,anomaly_type,runbook_id
c012b2fad7b875eb,9189844258334d45,81e804a659d400f2,b5b7b201ccf927b4,2025-09-01T00:00:00.593934,site477.example,10.0.128.105,10.0.99.84,80,TCP,51.06053252329148,137901,37873,False,cell_623,30.7115,76.7615,0,,
db0c150879b18219,649090a0f91222a8,06b84c677d69e0e9,a56ee01016243344,2025-09-01T00:00:00.790089,site50.example,10.3.27.6,10.0.137.127,5228,TCP,6.946341836137422,2942,2896,False,cell_971,30.7855,76.8355,0,,
054ceb1e5c396812,7bfa9ce984b2f6a6,e0ab3ddc53a44b21,9cd50e2a80916749,2025-09-01T00:00:02.272500,google.com,10.2.43.249,10.0.59.238,5060,TCP,128.85974796374884,32650,42557,False,cell_625,30.7125,76.7625,0,,
d253bd207a1633e4,7ede5a91e236cc8b,f946b11e563b154a,536820633c32cb96,2025-09-01T00:00:05.204634,site747.example,10.2.147.15,10.0.127.218,443,TCP,49.05743399789606,19906,28281,False,cell_636,30.718,76.768,0,,
f249541656cfc819,31e6b343b1b4cefc,f3858a1172dca418,cf84ba574306c945,2025-09-01T00:00:05.573124,site85.example,10.1.23.4,10.0.173.215,80,TCP,3.6138823912214186,2772,3521,False,cell_143,30.7715,76.8215,0,,
2180686155cbca4d,5f930db12482ae14,1d8a9890c1a8dc77,92b282ca1e0a858f,2025-09-01T00:00:07.776708,site609.example,10.2.246.39,10.0.114.121,11593,UDP,2.9612400670564885,11983,3588,False,cell_794,30.797,76.847,1,VOIP_SPOOF,ADHOC_VOIP_1036
7337b78266bd4e9d,44c83c3a883c2b71,5127c9c7550a7f4e,b9fc5d94c78c10c3,2025-09-01T00:00:07.935606,site186.example,10.2.124.64,10.0.72.138,80,TCP,18.99471735789873,28001,49461,False,cell_305,30.7525,76.8025,0,,
04a3bfbc62b215c0,c2f1afe47111a8a0,87f62462881871ae,d6fcdcd42b731758,2025-09-01T00:00:11.300846,sms-gateway.example,10.2.123.239,10.0.220.31,80,TCP,1.0,50,6613,True,cell_1565,30.7825,76.8325,1,MASS_SMS,ADHOC_SPAM_147
bd2429a9e91aad43,198a2da865acf539,f8e1d53e50882cc6,b2514885a2f194df,2025-09-01T00:00:12.598915,site729.example,10.2.17.102,10.0.17.173,443,TCP,147.39725895950073,307893,229284,False,cell_170,30.785,76.835,0,,
789a606e862a2c03,92c020bbf350bcc6,23f316466f4b3b4f,c9d7dd03b56bdd8d,2025-09-01T00:00:14.870267,site475.example,10.0.240.173,10.0.76.144,5228,TCP,42.38213029742845,16040,30504,False,cell_1261,30.7305,76.7805,0,,
eefb7344627a3b1e,2279d0b3905a2566,05d2c18c0e1dc643,4bf8c185b2771045,2025-09-01T00:00:21.697859,site1027.example,10.3.168.126,10.0.187.248,80,TCP,25.86993251133934,21995,17816,False,cell_23,30.7115,76.7615,0,,
cd58633d166c78de,4e02b628c1b87321,3f5a96835bf44fe9,babed70fd4ea8182,2025-09-01T00:00:26.867933,site758.example,10.2.67.19,10.0.251.73,5228,TCP,33.546234454598164,31967,19337,True,cell_414,30.707,76.757,0,,
d153a12e116d9390,aab597069e0ca2ea,77ed4c402fde8b94,116d844e50af96ee,2025-09-01T00:00:28.306822,site1379.example,10.0.169.214,10.0.72.46,5228,TCP,24.463642069335787,7289,6003,False,cell_322,30.761,76.811,0,,
a853096459c79619,0d70d101eae07621,147252784b401558,568ac27d580942b9,2025-09-01T00:00:28.964140,google.com,10.0.236.216,10.0.53.27,8080,TCP,16.078337374265445,7251,12439,False,cell_1198,30.799,76.849,0,,
8e707f012f9e5b65,22542f0c43d99cba,d46468d0474e3fa2,9c5e55d1fe4d13f6,2025-09-01T00:00:36.417268,site1931.example,10.2.164.176,10.0.224.35,443,TCP,25.576385910243232,40673,6859,False,cell_621,30.7105,76.7605,0,,
55531928d2baee12,cbb9e3c628564a45,c9ea71a2bb89929a,7e84567452e6088e,2025-09-01T00:00:44.928936,site915.example,10.3.57.145,10.0.247.235,5228,TCP,25.93183795867683,9038,15980,False,cell_464,30.732,76.782,0,,
ad85c05e6522df42,94ec949a8c9f1002,cd515a822ebf7215,373f238788332741,2025-09-01T00:00:45.523290,site290.example,10.1.144.169,10.0.156.239,10422,UDP,5.773052051231436,1355,261,False,cell_610,30.705,76.755,1,VOIP_SPOOF,ADHOC_VOIP_2222
4ed5630f9ab1f135,0726e14e82c3d960,7c62e16b2fdadc43,d5c65eec492a327a,2025-09-01T00:00:46.910575,google.com,10.2.0.229,10.0.178.25,443,TCP,32.009093180804555,14685,4205,False,cell_944,30.772,76.822,0,,
82d2f298d4e005f4,cef89cc03373b7ee,7c476ca4d2a9cfa1,367ac92b4b2966e5,2025-09-01T00:00:48.324512,site425.example,10.1.109.24,10.0.254.4,80,TCP,126.76482475892927,103455,114810,False,cell_821,30.7105,76.7605,0,,
bdbbf54fd325c1fc,dc086c73fed07799,188a72b03f9dd8dc,f5b2c2fc14fa53c7,2025-09-01T00:00:53.495344,site58.example,10.2.28.173,10.0.37.34,443,TCP,78.29591716414275,15054,20997,False,cell_955,30.7775,76.8275,0,,
c4c2ae21751316bc,465ca3f07a3cfed9,8d1eab65df33630f,518ccb88719b4711,2025-09-01T00:01:01.575189,site1652.example,10.0.31.29,10.0.157.2,443,TCP,13.318594654210997,1553,1206,False,cell_1040,30.72,76.77,0,,
e224d4497cfb5c83,82ffbb211acc40ac,c7b992f7070a7835,14b83da1f78383d9,2025-09-01T00:01:03.607010,netflix.com,10.1.174.245,10.0.201.191,80,TCP,21.27949314998758,8289,3290,False,cell_1886,30.743,76.793,0,,
13bbdad293ecb343,0e26ad1b6b78a414,ac99205b14617688,c3d1a5f409cd7434,2025-09-01T00:01:07.800519,site584.example,10.2.228.106,10.0.187.42,80,TCP,35.51825516605266,18724,23354,True,cell_1499,30.7495,76.7995,0,,
efef883b131cd64b,9d4c2bbc262df40d,d8c0a1c65f836495,02da1e6ba93848e7,2025-09-01T00:01:08.508017,sms-gateway.example,10.0.250.204,10.0.88.62,5228,TCP,4.892695019996537,451,15091,False,cell_141,30.7705,76.8205,1,OTP_REDIRECTION,ADHOC_OTP_1814
3881e5a4fc82e8b2,f80f74abdc6dbef7,70bf1b274eb68eb3,f3206a9cd1ca1b4a,2025-09-01T00:01:16.338183,site1883.example,10.3.193.159,10.0.221.227,443,TCP,81.89243902012788,74159,55208,True,cell_876,30.738,76.788,0,,
