SubscriberID,EventType,Timestamp,Location,DeviceID,FraudType
SUB-944386,ServiceChange,2023-02-01 16:44:57,Loc-384,DEV-5688,SIM Swap
SUB-249250,SIMSwap,2023-11-03 04:55:15,Loc-988,DEV-7257,SIM Swap
SUB-469651,ServiceChange,2023-05-02 03:00:41,Loc-377,DEV-4354,None
SUB-172485,SIMSwap,2023-11-06 00:25:48,Loc-727,DEV-8845,None
SUB-950158,Activation,2023-09-23 10:54:58,Loc-971,DEV-6937,None
SUB-338112,Deactivation,2023-12-11 12:58:04,Loc-383,DEV-8387,None
SUB-752446,ServiceChange,2023-11-24 00:00:41,Loc-730,DEV-8657,None
SUB-196715,Activation,2023-10-19 06:33:21,Loc-146,DEV-4375,SIM Swap
SUB-337278,Recharge,2023-04-28 02:26:38,Loc-714,DEV-9131,SIM Swap
SUB-874785,SIMSwap,2023-09-30 05:56:31,Loc-464,DEV-7772,None
SUB-869300,SIMSwap,2023-07-23 07:18:27,Loc-618,DEV-2512,SIM Swap
SUB-636593,ServiceChange,2023-01-21 20:24:08,Loc-827,DEV-3143,None
SUB-484152,SIMSwap,2023-08-18 10:18:51,Loc-257,DEV-9177,SIM Swap
SUB-327908,ServiceChange,2023-06-19 18:06:47,Loc-324,DEV-9437,None
SUB-614897,Recharge,2023-08-15 13:24:59,Loc-988,DEV-1737,None
SUB-324800,Activation,2023-03-04 04:58:05,Loc-271,DEV-4050,None
SUB-731328,Recharge,2023-04-13 13:01:07,Loc-670,DEV-1671,SIM Swap
SUB-114449,Recharge,2023-06-24 22:40:29,Loc-311,DEV-2927,SIM Swap
SUB-867385,SIMSwap,2023-03-26 19:06:25,Loc-916,DEV-7493,SIM Swap
SUB-424695,ServiceChange,2023-07-03 03:37:04,Loc-840,DEV-9132,SIM Swap
SUB-106687,ServiceChange,2023-01-07 23:45:39,Loc-326,DEV-7597,SIM Swap
SUB-531101,Recharge,2023-06-06 04:55:53,Loc-112,DEV-1061,SIM Swap
SUB-495968,Deactivation,2023-03-04 22:27:17,Loc-975,DEV-3533,None
SUB-289776,SIMSwap,2023-02-19 08:16:35,Loc-223,DEV-4482,SIM Swap
SUB-663279,Deactivation,2023-07-06 17:01:14,Loc-668,DEV-5285,SIM Swap
SUB-240156,ServiceChange,2023-04-12 12:41:08,Loc-825,DEV-4530,None
SUB-307158,Activation,2023-12-18 23:25:28,Loc-406,DEV-6900,SIM Swap
SUB-697604,Deactivation,2023-09-15 04:41:12,Loc-878,DEV-1601,SIM Swap
SUB-520360,ServiceChange,2023-01-13 14:33:48,Loc-379,DEV-9897,SIM Swap
SUB-342863,Activation,2023-03-12 13:36:07,Loc-307,DEV-5134,SIM Swap
SUB-315570,Recharge,2023-07-22 08:32:54,Loc-930,DEV-5540,None
SUB-217928,SIMSwap,2023-09-13 11:21:45,Loc-416,DEV-8094,SIM Swap
SUB-202842,Deactivation,2023-04-12 12:18:55,Loc-285,DEV-2939,None
SUB-507684,Deactivation,2023-07-01 15:07:02,Loc-670,DEV-2447,SIM Swap
SUB-893921,Activation,2023-04-30 04:47:32,Loc-672,DEV-4694,SIM Swap
SUB-364681,SIMSwap,2023-02-06 20:02:33,Loc-185,DEV-7730,SIM Swap
SUB-707528,Recharge,2023-12-26 12:18:05,Loc-470,DEV-7099,SIM Swap
SUB-275028,Activation,2023-08-30 19:39:25,Loc-352,DEV-9186,None
SUB-209472,Deactivation,2023-10-24 08:15:24,Loc-973,DEV-7719,None
