Subscriber ID,IP Address,Destination IP,Destination Port,Application,Start Time,End Time,Protocol,ISP,Location
91XXXXXXXXXX,192.168.1.170,172.217.9.155,5222,WhatsApp Messenger,2024-04-01 10:19:52,2024-04-01 10:29:52,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.63,172.217.2.153,5222,WhatsApp Messenger,2024-04-01 14:19:10,2024-04-01 14:29:10,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.239,172.217.233.86,5222,WhatsApp Messenger,2024-04-01 20:44:06,2024-04-01 20:54:06,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.85,172.217.99.181,5222,WhatsApp Messenger,2024-04-01 23:37:01,2024-04-01 23:47:01,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.159,172.217.241.132,5222,WhatsApp Messenger,2024-04-01 21:24:56,2024-04-01 21:34:56,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.166,172.217.3.237,5222,WhatsApp Messenger,2024-04-01 00:07:54,2024-04-01 00:17:54,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.125,172.217.176.73,5222,WhatsApp Messenger,2024-04-01 18:54:44,2024-04-01 19:04:44,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.252,172.217.175.111,5222,WhatsApp Messenger,2024-04-01 23:56:51,2024-04-02 00:06:51,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.152,172.217.186.243,5222,WhatsApp Messenger,2024-04-01 19:56:30,2024-04-01 20:06:30,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.130,172.217.157.69,5222,WhatsApp Messenger,2024-04-01 06:21:35,2024-04-01 06:31:35,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.8,172.217.249.199,5222,WhatsApp Messenger,2024-04-01 09:46:13,2024-04-01 09:56:13,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.55,172.217.39.33,5222,WhatsApp Messenger,2024-04-01 08:54:19,2024-04-01 09:04:19,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.98,172.217.101.204,5222,WhatsApp Messenger,2024-04-01 22:15:22,2024-04-01 22:25:22,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.188,172.217.33.234,5222,WhatsApp Messenger,2024-04-01 13:37:28,2024-04-01 13:47:28,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.116,172.217.192.232,5222,WhatsApp Messenger,2024-04-01 01:03:57,2024-04-01 01:13:57,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.83,172.217.156.192,5222,WhatsApp Messenger,2024-04-01 16:45:39,2024-04-01 16:55:39,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.5,172.217.63.184,5222,WhatsApp Messenger,2024-04-01 06:33:25,2024-04-01 06:43:25,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.88,172.217.213.143,5222,WhatsApp Messenger,2024-04-01 23:32:16,2024-04-01 23:42:16,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.227,172.217.191.172,443,Instagram,2024-04-01 15:11:12,2024-04-01 15:21:12,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.116,172.217.66.30,443,Instagram,2024-04-01 17:55:51,2024-04-01 18:05:51,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.179,172.217.215.184,443,Instagram,2024-04-01 02:12:36,2024-04-01 02:22:36,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.81,172.217.133.110,443,Instagram,2024-04-01 18:04:03,2024-04-01 18:14:03,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.213,172.217.11.228,443,Instagram,2024-04-01 23:06:23,2024-04-01 23:16:23,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.248,172.217.205.47,443,Instagram,2024-04-01 08:19:46,2024-04-01 08:29:46,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.53,172.217.187.253,443,Instagram,2024-04-01 10:33:11,2024-04-01 10:43:11,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.59,172.217.125.25,443,Instagram,2024-04-01 17:04:34,2024-04-01 17:14:34,TCP,Airtel,Chandigarh
91XXXXXXXXXX,192.168.1.200,172.217.67.8,443,Instagram,2024-04-01 22:49:44,2024-04-01 22:59:44,TCP,Airtel,Chandigarh
